"Ticker","Nome","Negócios","Última (R$)","Variação"
"CASH3","Méliuz","578.000","3,62","-1,63%"
"KEPL3","Kepler Weber","577.000","9,60","-1,03%"
"ARML3","Armac","541.900","8,12","-2,75%"
"MATD3","Mater Dei","508.000","4,64","+0,87%"
"NEOE3","Neoenergia","466.100","19,00","+0,00%"
"FESA4","Ferbasa","465.800","7,72","-0,64%"
"SOJA3","Boa Safra Sementes","460.300","12,09","-2,26%"
"TUPY3","Tupy","459.100","24,91","-0,88%"
"BRIT3","Brisanet","433.200","3,07","+1,99%"
"LUPA3","Lupatech","431.400","1,41","-6,00%"
"ESPA3","Espaçolaser","425.500","0,99","+0,00%"
"ABCB4","Banco ABC Brasil","420.700","21,29","-0,37%"
"WIZC3","Wiz Soluções","414.400","6,06","-0,33%"
"AZEV3","Azevedo & Travassos","407.500","1,29","+0,00%"
"ZAMP3","Zamp","404.300","2,55","-1,54%"
"PLPL3","Plano&Plano","398.500","13,19","+2,81%"
"CSED3","Cruzeiro do Sul Educacional","398.200","3,28","+1,86%"
"LEVE3","Mahle Metal Leve","382.100","30,29","-1,53%"
"VTRU3","VITRUBREPCOM","381.800","9,39","+3,41%"
"PINE4","Banco Pine","365.400","5,22","-2,79%"
"TASA4","Taurus","350.800","10,52","+1,35%"
"PGMN3","Pague Menos","345.000","2,75","+1,48%"
"MEAL3","IMC Alimentação","342.200","1,37","-1,44%"
"SEQL3","Sequoia Logística","328.800","4,37","+0,46%"
"LIGT3","Light","325.500","6,33","-2,62%"
"MTRE3","Mitre Realty","324.700","3,78","-0,26%"
"MBLY3","Mobly","323.000","2,32","+1,31%"
"VULC3","Vulcabras","300.600","16,70","+0,60%"
"ITUB3","Itaú Unibanco","291.100","30,74","+0,72%"
"HBRE3","HBR Realty","285.600","4,62","-0,22%"
"JALL3","Jalles Machado","279.800","6,40","-0,47%"
"ORVR3","Orizon","264.100","46,16","+0,39%"
"RNEW4","Renova Energia","262.800","1,02","+0,00%"
"MELK3","Melnick","260.400","3,61","+0,28%"
"CAML3","Camil Alimentos","256.700","8,52","+0,35%"
"VLID3","Valid","239.300","22,15","-2,29%"
"SEER3","Ser Educacional","226.000","6,04","+0,67%"
"FRAS3","Fras-le","220.000","21,01","-0,47%"
"PNVL3","Dimed","219.100","10,44","+1,36%"
"PRNR3","Priner","218.800","12,25","-0,73%"
"AERI3","Aeris Energy","201.600","6,30","+0,80%"
"OPCT3","OceanPact","201.300","6,91","-0,14%"
"FIQE3","Unifique","193.800","3,89","+2,64%"
"SHUL4","Schulz","188.400","6,20","+0,49%"
"OIBR3","Oi","187.500","4,93","+1,02%"
"PMAM3","Paranapanema","177.000","1,35","-3,57%"
"ATOM3","ATOM","175.900","2,78","+14,88%"
"LOGG3","LOG CP","171.700","23,13","-0,98%"
"PTBL3","Portobello","167.300","4,69","+2,63%"
"AMBP3","Ambipar","166.500","125,00","-0,45%"
"KLBN3","Klabin","162.400","4,28","-0,23%"
"BLAU3","Blau Farmacêutica","155.900","13,21","+1,46%"
"VITT3","Vittia","152.300","5,80","+0,00%"
"UNIP6","Unipar","150.800","46,28","-0,43%"
"TECN3","Technos","147.700","5,25","+6,92%"
"AGRO3","BrasilAgro","142.100","25,00","-0,60%"
"PFRM3","Profarma","134.000","5,59","+0,36%"
"BMOB3","Bemobi","125.500","14,40","-1,23%"
"AMAR3","Lojas Marisa","122.800","1,03","+0,00%"
"BRAP3","Bradespar","121.800","17,73","-3,59%"
"NGRD3","Neogrid","121.600","31,00","-73,04%"
"CMIG3","CEMIG","120.600","14,20","-1,11%"
"SAPR3","Sanepar","119.300","5,46","+2,44%"
"ALPK3","Estapar","118.400","2,84","+0,71%"
"BRBI11","BR Partners","113.500","15,28","+0,79%"
"KRSA3","Kora Saúde","95.900","4,90","+0,00%"
"TFCO4","Track & Field","95.400","10,45","+0,19%"
"TAEE4","Taesa","91.000","11,55","+0,09%"
"TGMA3","Tegma","86.900","26,00","-0,38%"
"ETER3","Eternit","86.500","5,64","-0,35%"
"TCSA3","Tecnisa","83.800","1,72","-1,15%"
"BIOM3","Biomm","83.200","9,51","-2,96%"
"ROMI3","Indústrias ROMI","83.000","10,99","+0,46%"
"DESK3","Desktop","82.500","14,09","-0,42%"
"RNEW3","Renova Energia","82.000","1,01","-3,81%"
"LPSB3","Lopes","75.600","1,78","+1,71%"
"ITSA3","Itaúsa","71.300","10,66","+0,28%"
"AALR3","Alliança","66.500","15,23","+0,73%"
"SHOW3","Time For Fun","63.300","0,99","+1,02%"
"AGXY3","AgroGalaxy","62.900","0,59","+1,72%"
"BOBR4","Bombril","61.200","2,26","-2,16%"
"DEXP3","Dexxos","58.200","8,75","-0,46%"
"DMVF3","D1000 Varejo Farma","55.300","6,31","+0,32%"
"ELMD3","Eletromidia","54.800","16,83","+2,56%"
"TPIS3","Triunfo","52.900","5,55","+1,83%"
"GOAU3","Metalúrgica Gerdau","50.900","10,42","+0,19%"
"WEST3","Westwing","50.800","0,81","-1,22%"
"EUCA4","Eucatex","45.200","15,68","-3,03%"
"RSID3","Rossi Residencial","44.300","3,05","-2,56%"
"CAMB3","Cambuci","43.500","12,49","+0,81%"
"TAEE3","Taesa","42.500","11,52","+0,00%"
"WHRL4","Whirlpool","40.800","4,34","-3,34%"
"ALLD3","Allied","37.900","7,62","-1,17%"
"CSUD3","CSU Cardsystem","37.300","17,15","-0,87%"
"DOTZ3","Dotz","37.000","5,76","+3,78%"
"INEP3","Inepar","35.700","1,84","-1,08%"
"SANB4","Banco Santander","32.100","14,93","-0,67%"
"AVLL3","Alphaville","30.200","3,14","+0,64%"
"IGTI3","Jereissati Participações","26.400","2,60","-1,52%"
"IGTI3","Iguatemi","26.400","2,60","-1,52%"
"LOGN3","Log-In","25.000","32,75","-0,21%"
"SANB3","Banco Santander","23.800","13,70","+0,66%"
